wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
727.032,0.2818326,0.2821667,0.2826434,0.2813438,0.2861694,0.2814817,0.2832201,0.2819136,0.2823515,0.2828401,0.2830357,0.2831009,0.2837656
728.9604,0.2793821,0.2787592,0.2795803,0.2789576,0.2831349,0.278153,0.2800321,0.2806161,0.2796977,0.2804564,0.2807405,0.2799678,0.2804212
730.8889,0.2774455,0.276558,0.2766038,0.2764589,0.2793351,0.275203,0.2781639,0.2792995,0.2773889,0.2786849,0.2790257,0.2761973,0.2772036
732.8174,0.2751549,0.2752651,0.274227,0.2732611,0.2768484,0.2729983,0.275692,0.2753272,0.2740912,0.2763445,0.2768448,0.2730782,0.2745017
734.7458,0.2720769,0.2738398,0.2723074,0.2710452,0.2755588,0.2715728,0.2732027,0.2723143,0.2714214,0.2733554,0.2747755,0.2715066,0.2724544
736.6743,0.2686209,0.2703989,0.2704425,0.2684997,0.2725359,0.2684346,0.2698666,0.2691293,0.2686904,0.270514,0.2717964,0.2686379,0.2690865
738.6028,0.265563,0.2671702,0.2670748,0.2660273,0.2687823,0.2651729,0.2681323,0.2659187,0.2654823,0.2681262,0.2689523,0.2652275,0.2660359
740.5313,0.2634252,0.2633913,0.2633928,0.2634921,0.2650336,0.2622048,0.2642901,0.2626168,0.2626947,0.2646918,0.2661865,0.2621744,0.263267
742.4597,0.260704,0.2613325,0.2609803,0.2612523,0.2627437,0.2601633,0.2607424,0.2606798,0.2596511,0.2610361,0.2624538,0.2596664,0.2614226
744.3882,0.2579682,0.260048,0.2591884,0.258723,0.260208,0.2589819,0.2590002,0.2586972,0.2564788,0.2578204,0.2591102,0.2579608,0.2590429
746.3167,0.2549592,0.2577382,0.2562594,0.2566027,0.2580334,0.2568224,0.2569087,0.256826,0.2544515,0.2558706,0.2578607,0.2562303,0.2552924
748.2451,0.2515733,0.2539601,0.2533436,0.2538928,0.2564824,0.2535991,0.253389,0.2532111,0.2519971,0.2525213,0.25583,0.2535081,0.2517534
750.1736,0.2496385,0.2506386,0.251043,0.251718,0.2547096,0.2515272,0.2502807,0.2498716,0.2492961,0.2493505,0.2521774,0.2505907,0.2495993
752.1021,0.2478239,0.247725,0.2485159,0.2481221,0.2513919,0.2491292,0.2471915,0.2466003,0.2465091,0.2475023,0.2486853,0.2477632,0.2475343
754.0305,0.2447971,0.2441473,0.2448584,0.2452197,0.2479293,0.2465005,0.2456549,0.2432244,0.243617,0.2458364,0.2457911,0.2447311,0.244993
755.959,0.2415698,0.2416907,0.2416605,0.2422922,0.2449139,0.2420346,0.2434527,0.2403167,0.2408886,0.2433223,0.242887,0.2409943,0.2423195
757.8875,0.2394228,0.2404302,0.2404362,0.2395361,0.2415878,0.2390424,0.2411678,0.2393581,0.2389391,0.2404615,0.2404123,0.2376806,0.2396161
759.8159,0.2370519,0.2383852,0.2384926,0.2369146,0.239884,0.2373949,0.2386489,0.2378299,0.2362883,0.2379237,0.2372314,0.2356383,0.2365734
761.7444,0.2343078,0.2356356,0.2362416,0.2349989,0.2379334,0.2352136,0.2356206,0.2350462,0.2337173,0.2357795,0.2350214,0.2345975,0.2341563
763.6729,0.2318061,0.2325206,0.2349669,0.2325362,0.2351851,0.233332,0.2319128,0.2318271,0.2310722,0.2328579,0.2335188,0.2325291,0.2328905
765.6013,0.2296789,0.2299564,0.2327932,0.2294076,0.2327099,0.2317875,0.2299172,0.2298738,0.2291628,0.2303162,0.2312676,0.2301431,0.2309818
767.5298,0.2276535,0.2281607,0.2297136,0.227121,0.2306638,0.2283362,0.22812,0.227645,0.2269139,0.2281153,0.2288031,0.2281108,0.2280551
769.4583,0.2256366,0.2260649,0.2261382,0.2249013,0.2284826,0.2252898,0.2257713,0.2252055,0.224224,0.2258516,0.226423,0.2251715,0.2258117
771.3867,0.2233732,0.2237236,0.2233941,0.222136,0.2256243,0.2227996,0.2232583,0.2225069,0.2223585,0.2231159,0.2240014,0.2216687,0.2232815
773.3152,0.2204414,0.2206112,0.2217958,0.2195287,0.2227239,0.2204813,0.2208192,0.2196478,0.2194851,0.2205499,0.2218341,0.2194853,0.2205644
775.2437,0.2181029,0.2171344,0.219466,0.2169195,0.2209846,0.2180121,0.2184141,0.2171239,0.2166598,0.2183519,0.2190496,0.2182164,0.2180248
